키워드,접촉지점,단계,유형,근거
"머리에여드름",3-증상,3,증상,"머리+여드름 증상 단독, 해결수단·브랜드 없음"
"약국니조랄가격",5-브랜드제품,5,브랜드제품,"니조랄(브랜드)+채널(약국)+가격 = 5-브랜드제품"
"도브센서티브뷰티바",5-브랜드제품,5,브랜드제품,"도브(브랜드) 특정 제품명 포함"
"니조랄연고",5-브랜드제품,5,브랜드제품,"니조랄(브랜드) 특정 제품"
"이스터샴푸",5-브랜드제품,5,브랜드제품,"이스터(브랜드)+샴푸"
"니조랄 샴푸약국",5-브랜드제품,5,브랜드제품,"니조랄(브랜드)+샴푸+채널(약국)"
"케토코나졸모낭염",4-대안,4,대안,"케토코나졸(일반성분)+모낭염, 브랜드 없는 성분 탐색"
"두피모낭염치료",4-대안,4,대안,"두피모낭염+치료(방법), 제품·브랜드 없음"
"순한샴푸",5-카테고리,5,카테고리,"속성(순한)+샴푸 카테고리, 브랜드 없는 제품 검색"
"니조랄2%",5-브랜드제품,5,브랜드제품,"니조랄(브랜드) 특정 제품 규격"
"두피쿨링팩",5-카테고리,5,카테고리,"두피쿨링팩 = 두피상태+제품 카테고리, 브랜드 없음"
"올리브영지루성두피염샴푸",5-카테고리,5,카테고리,"채널(올리브영)+질환+샴푸 카테고리, 브랜드 없음"
"아토피샴푸",5-카테고리,5,카테고리,"질환(아토피)+샴푸 카테고리, 브랜드 없음"
"아베다샴푸브러쉬",5-브랜드제품,5,브랜드제품,"아베다(브랜드)+샴푸브러쉬 제품"
"알페인샴푸",5-브랜드제품,5,브랜드제품,"알페인(알페신 변형, 브랜드)+샴푸"
"니조랄비듬샴푸",5-브랜드제품,5,브랜드제품,"니조랄(브랜드)+비듬샴푸 = 브랜드 포함"
"아모스녹차실감샴푸",5-브랜드제품,5,브랜드제품,"아모스녹차실감(브랜드)+샴푸"
"두피지루성피부염샴푸",5-카테고리,5,카테고리,"질환(지루성피부염)+샴푸 카테고리, 브랜드 없음"
"헤드앤숄더딥클린",5-브랜드제품,5,브랜드제품,"헤드앤숄더(브랜드)+딥클린 제품라인"
"케토코나졸샴푸",5-카테고리,5,카테고리,"케토코나졸(일반성분)+샴푸 = 성분군 카테고리샴푸(브랜드 아님)"
"아로마티카샴푸브러쉬",5-브랜드제품,5,브랜드제품,"아로마티카(브랜드)+샴푸브러쉬 제품"
"지성샴푸추천",5-카테고리,5,카테고리,"두피타입(지성)+샴푸+추천, 카테고리 추천"
"바이오가트리트먼트",5-브랜드제품,5,브랜드제품,"바이오가(브랜드)+트리트먼트 제품"
"라보에이치앰플토닉",5-브랜드제품,5,브랜드제품,"라보에이치(브랜드)+앰플토닉 제품"
"라우쉬토닉",5-브랜드제품,5,브랜드제품,"라우쉬(브랜드)+토닉 제품"
"약국니조랄샴푸",5-브랜드제품,5,브랜드제품,"채널(약국)+니조랄(브랜드)+샴푸"
"아베다샴푸어샴푸",5-브랜드제품,5,브랜드제품,"아베다(브랜드) 샴푸어샴푸 특정 제품"
"로마샴푸라인비교",5-브랜드제품,5,브랜드제품,"로마(브랜드)+샴푸라인 비교 = 브랜드+비교"
"민감두피샴푸",5-카테고리,5,카테고리,"두피타입(민감두피)+샴푸 카테고리, 브랜드 없음"
